ASIN,NAME,AUTHOR,STARS,ISBN13,ISBN10,SALE_PRICE,ORIGINAL_PRICE,ITEM SUBCATEGORY,ITEM SPECIFIC CATEGORY,AVAILABILITY,URL,STATUS,OBSERVATIONS
0470528060,"How to Cook Everything The Basics: All You Need to Make Great Food--With 1,000 Photos Hardcover – March 5, 2012",Mark Bittman,4.6,978-0470528068,0470528060,$20.49,$35.00,"Cookbooks, Food & Wine",Cooking Education & Reference,In Stock.,https://www.amazon.com/dp/0470528060,16.0,ASIN number not found
0470876417,"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers Paperback – July 13, 2010",Alexander Osterwalder,4.5,978-0470876411,0470876417,$23.76,$34.95,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0470876417,16.0,ISBN10 number error
0470928077,"Poorly Made in China: An Insider's Account of the China Production Game Paperback – January 11, 2011",Paul Midler,4.5,978-0470928073,0470928077,$16.84,$16.84,Business & Money,Marketing & Sales,In Stock.,https://www.amazon.com/dp/0470928077,16.0,Original price not found
0471446912,Damn Right: Behind the Scenes with Berkshire Hathaway Billionaire Charlie Munger New edition Edition,Janet Lowe,4.0,978-0471446910,0471446912,$14.35,$28.95,Biographies & Memoirs,Professionals & Academics,In Stock.,https://www.amazon.com/dp/0471446912,16.0,ASIN number not found
0553418831,"Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy Paperback – September 5, 2017",Cathy O'Neil,4.2,978-0553418835,0553418831,$10.87,$16.00,History,Americas,In Stock.,https://www.amazon.com/dp/0553418831,16.0,ASIN number not found
0553447459,"Evicted: Poverty and Profit in the American City Paperback – February 28, 2017",Matthew Desmond,4.6,978-0553447453,0553447459,$11.55,$17.00,Politics & Social Sciences,Social Sciences,In Stock.,https://www.amazon.com/dp/0553447459,16.0,ASIN number not found
057809665X,"It's Not All About Me: The Top Ten Techniques for Building Quick Rapport with Anyone Paperback – November 1, 2011",Robin Dreeke,4.3,978-0578096650,057809665X,$8.95,$8.95,Self-Help,Relationships,In Stock.,https://www.amazon.com/dp/057809665X,16.0,Original price not found
0609809644,"Genghis Khan and the Making of the Modern World Paperback – March 22, 2005",Jack Weatherford,4.5,978-0609809648,0609809644,$12.80,$16.00,Biographies & Memoirs,Historical,In Stock.,https://www.amazon.com/dp/0609809644,16.0,ASIN number not found
0615303765,"But How Do It Know? - The Basic Principles of Computers for Everyone Paperback – July 4, 2009",J Clark Scott,4.5,978-0615303765,0615303765,$19.95,$19.95,Engineering & Transportation,Engineering,In Stock.,https://www.amazon.com/dp/0615303765,16.0,Original price not found
0679424733,"The Wealth of Nations (Modern Library) Hardcover – January 25, 1994",Adam Smith,4.3,978-0679424734,0679424733,$18.32,$26.95,History,Americas,In Stock.,https://www.amazon.com/dp/0679424733,16.0,ASIN number not found
